Date,Crypto_Volume,Crypto_Market_Cap
2018-01-18,33975548547.829113,418231564424.7123
2018-01-19,22902708470.212494,424110611162.4817
2018-01-20,17707561514.60096,456836447042.2196
2018-01-21,15916060895.824701,423585930321.66345
2018-01-22,15127195726.814009,403208548953.5595
2018-01-23,17192111974.845177,385472964270.13074
2018-01-24,15243360669.645933,378417963406.6929
2018-01-25,15731050424.052797,413381473851.36926
2018-01-26,14171907342.029123,399728637293.154
2018-01-27,12480955819.573391,408312432828.1121
2018-01-28,12331761851.274006,431373551236.11176
2018-01-29,10428991770.967777,427083713952.76337
2018-01-30,9640465741.452007,399730466906.42694
2018-01-31,11791862276.78242,376735469820.9153
2018-02-01,10384619118.910254,362018857105.11755
2018-02-02,14354908341.461235,308325145426.02545
2018-02-03,12593149417.009827,324226372095.4337
2018-02-04,9179079167.795183,315263900312.2606
2018-02-05,10482530465.278936,274679246116.12036
2018-02-06,13611980188.91363,247364852901.70764
2018-02-07,13401328024.90816,282512876378.4391
2018-02-08,10370960360.90345,292693646152.0656
2018-02-09,8956433067.314299,297939994174.15356
2018-02-10,10239439623.255116,322065822315.44464
2018-02-11,8712135882.353163,302750909922.89935
2018-02-12,8100556149.1426525,317645775514.5291
2018-02-13,7628807208.687913,315558295527.3716
2018-02-14,11413627547.817533,330884007719.05115
2018-02-15,11374762564.882751,354515138342.40125
2018-02-16,9556821588.721575,361034946567.3144
2018-02-17,9074185267.060959,376994072710.95746
2018-02-18,9911940316.89289,374350686845.4299
2018-02-19,8225447619.58826,375240379889.38403
2018-02-20,9173206539.10749,387578959421.08356
2018-02-21,10675887722.8258,361757858872.71295
2018-02-22,9652537103.854641,342922833556.6827
2018-02-23,9226757707.55134,339040803048.7564
2018-02-24,7707133164.308662,336894418837.10846
2018-02-25,6445186603.373515,329135706417.6679
2018-02-26,6904493350.589527,336823867341.0
2018-02-27,7668454634.793882,352315532371.68866
2018-02-28,7165749401.075568,349578125281.5086
2018-03-01,6825618606.307371,347624784549.4769
2018-03-02,7722527789.951797,355126420108.2924
2018-03-03,6899426838.32097,359763991649.567
2018-03-04,6827534974.988528,358663587938.1999
2018-03-05,8384134638.729019,368006284697.3258
2018-03-06,8796825673.015553,352070508478.83734
2018-03-07,9047976698.649199,333322586518.0716
2018-03-08,8945676402.605396,311240649590.0129
2018-03-09,8315393410.907652,287038796035.77765
2018-03-10,8320515492.900778,300437489414.38446
2018-03-11,7807692717.377131,291212917164.5291
2018-03-12,8077409874.166768,302040414877.91876
2018-03-13,8029483016.701866,292174379713.18036
2018-03-14,6747465349.404,279262574631.9381
2018-03-15,9044868453.416965,256565517768.32928
2018-03-16,7094091220.764748,260821484361.58484
2018-03-17,6573126063.324757,251833167573.0788
2018-03-18,7764190390.375213,231189969879.70084
2018-03-19,9833791699.972239,258206856472.43433
2018-03-20,8417188413.955592,262136944178.42545
2018-03-21,8007453783.0779705,274992670661.23364
2018-03-22,7041296721.86379,264931417161.01614
2018-03-23,7348471283.551536,255839626317.99152
2018-03-24,6018932674.582399,264763054971.11514
2018-03-25,5558701803.826063,257732291031.1
2018-03-26,5266317962.579713,247183027937.36945
2018-03-27,7026110368.165822,236106719475.27362
2018-03-28,6008617241.4267,233792075436.9178
2018-03-29,6437829946.592319,221467761654.77347
2018-03-30,8930167922.118128,204096335362.6291
2018-03-31,6992036774.31972,208636421341.9591
2018-04-01,5790625533.306157,201791041080.90305
2018-04-02,6277852341.464345,205352547630.67148
2018-04-03,6550888533.54291,216744764632.78592
2018-04-04,6784799915.413239,209492507151.8293
2018-04-05,6811381598.132797,201318175370.38278
2018-04-06,5962734055.252583,197564242171.50922
2018-04-07,5008960976.220369,202401695197.18863
2018-04-08,4614425005.916774,206210812996.86322
2018-04-09,5606083881.272222,206194122114.0037
2018-04-10,5524131088.667664,203369190741.2182
2018-04-11,5826485423.065644,208494120792.55728
2018-04-12,10592593504.751396,222777996685.41193
2018-04-13,12643960955.358873,247135950593.57382
2018-04-14,9143400058.526712,244721375480.173
2018-04-15,7435563502.165352,254124469329.4893
2018-04-16,7529324902.104839,251393213261.3055
2018-04-17,7912131679.701616,252695145578.37146
2018-04-18,8385710146.504198,255726787817.36023
2018-04-19,9390178389.932066,265978643040.9415
2018-04-20,11165333876.811707,281902045457.8534
2018-04-21,12645570616.436853,291486786036.72504
2018-04-22,10087998229.350418,295375398325.91797
2018-04-23,9825044647.966782,297366078969.20514
2018-04-24,13199804085.959255,317250945549.90576
