Date,Volume,MarketCap,symbol
2018-01-18,190422436.8665871,16994868732.764175,ADA
2018-01-19,121848019.5956709,16665199204.56,ADA
2018-01-20,114000663.60604563,18239294116.210728,ADA
2018-01-21,78362594.74723642,16364590532.986773,ADA
2018-01-22,65556991.17314692,15062593250.138851,ADA
2018-01-23,62506621.37295245,14396546539.721745,ADA
2018-01-24,63836367.41894595,14479616568.116,ADA
2018-01-25,146483603.95244908,16801348275.377537,ADA
2018-01-26,92332068.11127453,15777957497.211102,ADA
2018-01-27,63291971.42276958,16173616951.560038,ADA
2018-01-28,48096429.1500061,16415715816.226046,ADA
2018-01-29,55950586.63586761,16459794369.302923,ADA
2018-01-30,55882981.46743177,14886083723.056376,ADA
2018-01-31,69380713.49501494,13350899444.338415,ADA
2018-02-01,62739893.975283295,12132256739.96565,ADA
2018-02-02,117621336.38454989,9288653802.66014,ADA
2018-02-03,143015844.47386947,10889101052.726933,ADA
2018-02-04,116266519.17875732,10528433332.977425,ADA
2018-02-05,69883567.33860904,8902577766.686543,ADA
2018-02-06,87329014.9852473,8394365941.792878,ADA
2018-02-07,79602008.40381688,9268554689.969591,ADA
2018-02-08,59597092.72462713,9449372874.188145,ADA
2018-02-09,35927792.479953006,9211440265.834152,ADA
2018-02-10,80427299.70535983,10458390266.048992,ADA
2018-02-11,48929556.13315182,9797472840.375051,ADA
2018-02-12,38021498.01459072,10014820134.494452,ADA
2018-02-13,52907700.39293815,9597251156.950974,ADA
2018-02-14,56039186.566870406,10019985417.63316,ADA
2018-02-15,62980629.82131478,10191851320.842268,ADA
2018-02-16,52532438.47042704,10563349426.57517,ADA
2018-02-17,68635752.12060636,10650686621.439083,ADA
2018-02-18,66683252.47108372,10119776141.76818,ADA
2018-02-19,48784814.53761802,10222625510.88878,ADA
2018-02-20,57945188.479854375,10089887257.827091,ADA
2018-02-21,56201238.95064864,9494570080.053,ADA
2018-02-22,50755118.97378748,9181151213.918327,ADA
2018-02-23,44470768.16231227,8787764358.930956,ADA
2018-02-24,36835398.98969492,8593123454.564875,ADA
2018-02-25,37682675.57479487,8542286317.201146,ADA
2018-02-26,80993566.93414144,8735755686.351503,ADA
2018-02-27,48406085.43094725,8847549912.563196,ADA
2018-02-28,46063799.35807592,8317947991.805295,ADA
2018-03-01,56144988.72375823,7911592668.123028,ADA
2018-03-02,58634875.34733106,7651054921.135348,ADA
2018-03-03,47943225.513962,7733007255.340044,ADA
2018-03-04,40053891.238119,7653703983.359492,ADA
2018-03-05,60530165.5143024,7776943936.347262,ADA
2018-03-06,62323553.28770126,7496286734.907351,ADA
2018-03-07,46985076.10524952,6908452642.150669,ADA
2018-03-08,54247369.50255383,6115761023.095792,ADA
2018-03-09,46378045.98692219,5323642836.477988,ADA
2018-03-10,42727328.73507851,5750256392.45645,ADA
2018-03-11,25907494.84467173,5497308924.361784,ADA
2018-03-12,41364332.05983089,5848756250.631581,ADA
2018-03-13,51407188.29886755,5831688773.212573,ADA
2018-03-14,43061218.40518264,5626671455.090917,ADA
2018-03-15,44097907.05956858,4780366394.468197,ADA
2018-03-16,33625437.36342851,4742122883.75841,ADA
2018-03-17,25470909.65921617,4355424236.173584,ADA
2018-03-18,39243536.231143504,3639824665.79114,ADA
2018-03-19,76063942.90611951,4536909821.636321,ADA
2018-03-20,72992258.82181981,5000880694.449406,ADA
2018-03-21,65743493.26036314,5643626036.403224,ADA
2018-03-22,61085364.55573368,5391728975.964623,ADA
2018-03-23,92788254.1303106,4843662625.445922,ADA
2018-03-24,48843637.97615423,4931299177.950964,ADA
2018-03-25,53362476.51479192,4778419276.7998905,ADA
2018-03-26,38380653.83636345,4446561856.317378,ADA
2018-03-27,41486936.46180757,4131060111.117509,ADA
2018-03-28,29936049.179605,4157600195.0942698,ADA
2018-03-29,28406955.01367485,4725456418.836861,ADA
2018-03-30,35998203.81686385,3721737816.692315,ADA
