Start,End,Open,High,Low,Close,Volume,Market Cap
2018-01-18,2018-01-19,0.007672833,0.009566684,0.0073112,0.007881034,54382483.51848262,913223980.1938748
2018-01-19,2018-01-20,0.007851701,0.009341969,0.007399696,0.007883159,36701186.13640677,901023059.6404948
2018-01-20,2018-01-21,0.007948851,0.009391904,0.007948851,0.008535501,21377436.789895743,957082818.9757258
2018-01-21,2018-01-22,0.008601089,0.008826461,0.007017015,0.007152192,17642635.01313565,861546736.9642591
2018-01-22,2018-01-23,0.007199612,0.007576978,0.006368912,0.006774397,19346581.928392865,794947282.6313009
2018-01-23,2018-01-24,0.006747813,0.007642419,0.00623008,0.006672758,16843854.49565994,752054697.5700482
2018-01-24,2018-01-25,0.006663071,0.006663071,0.006663071,0.006663071,15928110.900596656,746426767.68988
2018-01-25,2018-01-26,0.007067772,0.00775445,0.007058006,0.007606121,17682750.253614053,850617346.7868114
2018-01-26,2018-01-27,0.007578586,0.008071428,0.006729026,0.007228539,18362775.603205293,836738504.5887328
2018-01-27,2018-01-28,0.007213504,0.007659916,0.007191787,0.007406083,13133879.41819044,834213396.1982565
2018-01-28,2018-01-29,0.007428938,0.00777833,0.00740986,0.007583431,11368567.649245532,849187187.6029756
2018-01-29,2018-01-30,0.007567518,0.007668904,0.006963771,0.007026967,11535580.497085966,800061458.0342315
2018-01-30,2018-01-31,0.007018619,0.007318328,0.006054058,0.006054594,12006264.265912794,744126097.6365842
2018-01-31,2018-02-01,0.006043099,0.006369831,0.005827026,0.006011986,14078039.739835666,678888961.3716123
2018-02-01,2018-02-02,0.006021221,0.006343959,0.00479765,0.005034794,14096553.105588164,622120810.3444934
2018-02-02,2018-02-03,0.005032398,0.005172249,0.003210479,0.004480416,19666646.937508494,497680542.9043958
2018-02-03,2018-02-04,0.00444754,0.00553085,0.004153319,0.005143438,20824476.81245962,551032253.0890691
2018-02-04,2018-02-05,0.005190536,0.005654702,0.004191027,0.004398673,12750103.727359356,543508814.2250923
2018-02-05,2018-02-06,0.004379179,0.004446222,0.003339108,0.003483684,10300460.739388129,454741217.7823876
2018-02-06,2018-02-07,0.003517913,0.004427941,0.003010705,0.004333575,12767532.218331711,408061869.94565785
2018-02-07,2018-02-08,0.004350384,0.004772519,0.003942476,0.004313203,14691480.592631258,494274295.6705701
2018-02-08,2018-02-09,0.004271757,0.004828948,0.004271757,0.004532215,9952962.075918503,517767145.11343455
2018-02-09,2018-02-10,0.004548424,0.005027679,0.004318843,0.005027679,8315498.338353614,526087496.0056038
2018-02-10,2018-02-11,0.005017472,0.005443491,0.004807948,0.004999405,13069025.437603995,576038997.9787169
2018-02-11,2018-02-12,0.005042863,0.005205114,0.004660327,0.00500167,11761894.919789184,551304562.3686566
2018-02-12,2018-02-13,0.005002486,0.005515547,0.00498462,0.005476192,9760126.717325626,591553513.437182
2018-02-13,2018-02-14,0.00549923,0.005661337,0.005279699,0.005660707,10185389.14749354,616989815.5696828
