Start,End,Open,High,Low,Close,Volume,Market Cap
2018-01-18,2018-01-19,10.170992929,11.207025378,9.799345913,10.301949356,679094259.0702792,6440509833.0
2018-01-19,2018-01-20,10.267221865,11.620425247,9.749567765,11.100935319,483545997.9878683,6877837864.0
2018-01-20,2018-01-21,11.105691592,15.750924368,11.105691592,15.402481461,800540877.3735876,9578538040.0
2018-01-21,2018-01-22,15.561002557,15.561002557,12.373313969,13.347616592,974949533.906616,8322820708.0
2018-01-22,2018-01-23,13.424201332,15.103651542,12.661251112,13.612230273,900069741.4927413,8488483306.0
2018-01-23,2018-01-24,13.5240628,13.621295154,11.830397704,12.888782498,786426951.1011932,8087782002.0
2018-01-25,2018-01-26,13.744822373,14.920413272,13.686990723,14.31809338,560353400.5467523,8981241125.0
2018-01-26,2018-01-27,14.285960123,14.714634579,13.158182492,14.313170355,488402829.4381912,9030386619.0
2018-01-27,2018-01-28,14.295864259,14.660091798,14.000987131,14.351081157,387008899.3535645,9013762327.0
2018-01-28,2018-01-29,14.393684498,14.878796397,14.232795994,14.714694923,339010433.61410284,9516622285.0
2018-01-29,2018-01-30,14.740134868,14.864489903,13.463213715,13.655796266,333428648.04594016,8903833112.0
2018-01-30,2018-01-31,13.640252552,13.6573818,11.076103474,11.142239896,410103956.3191923,7374103699.0
2018-01-31,2018-02-01,11.265603684,11.978205411,10.437633331,11.941771743,662195655.8293663,7806255291.0
2018-02-01,2018-02-02,11.980850131,12.157853605,9.62856625,10.083072897,418150283.4571096,6550906545.0
2018-02-02,2018-02-03,10.022890654,10.92273566,8.261952498,10.171411502,638137014.640349,6297674345.0
2018-02-03,2018-02-04,10.156726997,11.232332961,9.193712852,10.583818263,530362898.60982937,6352526020.0
2018-02-04,2018-02-05,10.573678025,10.79768262,8.588089809,8.944862554,262311952.8020447,5572991931.0
2018-02-05,2018-02-06,8.929530111,9.24006994,6.832667683,7.050425612,363106911.6961396,4585049360.0
2018-02-06,2018-02-07,7.113450243,8.418350365,5.846769775,8.285701055,564744208.6913899,5434877323.0
2018-02-07,2018-02-08,8.287134352,8.98845602,7.552242074,7.677410456,495683750.1908993,4987997778.0
