Start,End,Open,High,Low,Close,Volume,Market Cap
2018-01-18,2018-01-19,0.077003706,0.110917902,0.07288865,0.082511248,1355037493.5617423,5687419771.170377
2018-01-19,2018-01-20,0.081389947,0.087294843,0.071625993,0.080025485,932483007.4292912,5419681765.936593
2018-01-20,2018-01-21,0.080592445,0.089630242,0.080018156,0.086363333,530033536.0573632,5559673019.255052
2018-01-21,2018-01-22,0.086140663,0.086140663,0.068578623,0.071195519,459222737.8807287,4955326751.917979
2018-01-22,2018-01-23,0.071861928,0.083208261,0.063829326,0.072499232,435464820.3171891,4761490989.427954
2018-01-23,2018-01-24,0.071746353,0.073176978,0.064175572,0.068373208,394989952.0953767,4479069118.494951
2018-01-24,2018-01-25,0.068506258,0.068506258,0.068506258,0.068506258,330702931.0516998,4470501651.5685
2018-01-25,2018-01-26,0.070799713,0.073983462,0.067597522,0.069135253,412636641.4256532,4665359932.975013
2018-01-26,2018-01-27,0.069448451,0.071527478,0.061391761,0.066178321,281484999.43746084,4332051047.883699
2018-01-27,2018-01-28,0.066173797,0.069834177,0.064943079,0.068715275,254288218.24963927,4463987890.447995
2018-01-28,2018-01-29,0.069057981,0.071217367,0.066136028,0.066136028,233391620.25129777,4512166355.165103
2018-01-29,2018-01-30,0.066165211,0.06747488,0.063875581,0.064576849,241049348.9540921,4241925831.189545
2018-01-30,2018-01-31,0.064606605,0.064952291,0.052097722,0.053864158,194213508.4048402,3838880517.810025
2018-01-31,2018-02-01,0.054464848,0.054747838,0.050362119,0.054747838,188832220.40574065,3503688352.686027
2018-02-01,2018-02-02,0.054845499,0.057959495,0.043955431,0.046496438,226546505.18263465,3340661726.126676
2018-02-02,2018-02-03,0.046049486,0.046049486,0.030973039,0.041321646,220064096.9931959,2596626298.057022
2018-02-03,2018-02-04,0.041421506,0.047801337,0.036338669,0.045515113,229686612.8909133,2769554745.08016
2018-02-04,2018-02-05,0.045476908,0.046653706,0.036311078,0.038291192,167069675.28585067,2716119470.097798
2018-02-05,2018-02-06,0.038081921,0.03919298,0.027803966,0.029864321,140215441.2947635,2256277894.0442166
2018-02-06,2018-02-07,0.030075834,0.036852598,0.025051844,0.036485143,167578274.81889972,1950559360.5228496
2018-02-07,2018-02-08,0.036176797,0.039320826,0.031769431,0.033118904,216618544.2705536,2342447916.0151463
2018-02-08,2018-02-09,0.032929926,0.038071429,0.032929926,0.037073214,189038817.8057381,2386329915.0266304
2018-02-09,2018-02-10,0.037108445,0.046862475,0.035491991,0.046631385,130148106.79069588,2604571691.54074
2018-02-10,2018-02-11,0.046682532,0.054798452,0.044488296,0.048614041,284028195.35603374,3298234139.866848
2018-02-11,2018-02-12,0.048477677,0.048477677,0.039621208,0.0423346,271873594.18705976,2854270067.419873
2018-02-12,2018-02-13,0.042264119,0.04699591,0.042264119,0.045887386,219101069.85164297,3014784218.869801
2018-02-13,2018-02-14,0.045916991,0.045979961,0.042396551,0.043317777,177476081.03883713,2887725237.272613
2018-02-14,2018-02-15,0.043370394,0.046756289,0.042857863,0.045888527,167950768.8840265,2929041453.323173
2018-02-15,2018-02-16,0.045953346,0.048141221,0.045052019,0.047224049,178055762.39537096,3046564277.983471
2018-02-16,2018-02-17,0.046442608,0.053022258,0.046365985,0.052809599,248984783.71891075,3250231160.1944165
2018-02-17,2018-02-18,0.05273977,0.055470882,0.051367732,0.055196634,261189725.443366,3480329821.11182
2018-02-18,2018-02-19,0.055239058,0.055672801,0.048985931,0.050085387,185194318.2356308,3389656523.9944706
2018-02-19,2018-02-20,0.050055172,0.053063095,0.049720357,0.052308444,178066063.8025921,3377356273.876319
2018-02-20,2018-02-21,0.052178496,0.053105397,0.04752222,0.047712019,182405123.2672041,3305109366.063977
2018-02-21,2018-02-22,0.047474151,0.048613478,0.043483,0.044983839,181291516.72513983,2985512388.100792
2018-02-22,2018-02-23,0.045110256,0.04666253,0.039840916,0.040592295,159275097.71643147,2787606727.119064
2018-02-23,2018-02-24,0.040574795,0.043737919,0.03926416,0.043259225,144220010.8561872,2728865668.873522
2018-02-24,2018-02-25,0.043138455,0.045893949,0.039829574,0.041354865,175718653.7295168,2765490982.5572376
2018-02-25,2018-02-26,0.041325635,0.041969045,0.039330499,0.040326941,172985354.61659312,2644243415.146716
2018-02-26,2018-02-27,0.040442924,0.04298342,0.039302821,0.042082415,175723043.01360336,2663530332.359333
2018-02-27,2018-02-28,0.042034918,0.043334435,0.041458529,0.04297743,203153987.96763504,2757154271.346565
2018-02-28,2018-03-01,0.042987016,0.046662797,0.041031965,0.043715871,239332740.18071216,2823463792.9334283
2018-03-01,2018-03-02,0.043762198,0.048872532,0.042666412,0.048872532,308018208.1114289,2921803229.0115523
2018-03-02,2018-03-03,0.048759252,0.057214393,0.048036547,0.053313495,596544784.4053639,3391991369.507789
2018-03-03,2018-03-04,0.053258886,0.053258886,0.047796365,0.049307253,425611682.5621662,3241170880.5490446
2018-03-04,2018-03-05,0.049142241,0.049811952,0.047295219,0.048013762,303183741.643953,3142849298.254005
2018-03-05,2018-03-06,0.048037709,0.048104047,0.046367895,0.046731831,264979713.3927956,3084166311.7269177
2018-03-06,2018-03-07,0.046659452,0.048000484,0.043645044,0.043795038,196316772.73942733,2990967686.7036686
2018-03-07,2018-03-08,0.043787028,0.044855648,0.035399408,0.038793509,203803335.26186147,2756077807.5121512
2018-03-08,2018-03-09,0.038899137,0.039764941,0.036054088,0.036740009,260390173.24214733,2474265787.32212
2018-03-09,2018-03-10,0.036657865,0.037766163,0.030693278,0.037548776,220760610.25217664,2233437746.729697
2018-03-10,2018-03-11,0.037291108,0.038333458,0.034699227,0.035103918,271593792.18386835,2409227708.354296
2018-03-11,2018-03-12,0.034988004,0.039244215,0.033744937,0.038679897,241628583.9970357,2371673654.3269324
2018-03-12,2018-03-13,0.038663338,0.039583917,0.034374163,0.036350712,238836829.68212304,2467090509.9955287
2018-03-13,2018-03-14,0.036206495,0.037284257,0.034791876,0.036068017,205603401.2427808,2340999848.4290886
2018-03-14,2018-03-15,0.035982583,0.036497205,0.03034558,0.031178872,185675368.74049348,2214006341.6698203
2018-03-15,2018-03-16,0.031138066,0.031193672,0.028454143,0.030356373,176092413.6698036,1962456899.7916992
2018-03-16,2018-03-17,0.030349995,0.031241354,0.029225741,0.030206861,137890938.1727494,1967162929.24975
2018-03-17,2018-03-18,0.030214553,0.030409065,0.028097705,0.028364034,136573312.7158038,1930443139.1509151
2018-03-18,2018-03-19,0.028385317,0.029225975,0.023505213,0.02856916,98201199.36560737,1715358331.6680765
2018-03-19,2018-03-20,0.028517821,0.033138222,0.028233337,0.03258295,143637069.15451562,2060667669.147791
2018-03-20,2018-03-21,0.032740745,0.041091348,0.031658509,0.037851924,172593376.8991242,2268454877.5865355
2018-03-21,2018-03-22,0.03829472,0.040197872,0.036606588,0.037188889,241028020.22442788,2529755412.179041
2018-03-22,2018-03-23,0.037397387,0.039173317,0.03467466,0.0375234,205450102.838818,2430719608.045546
2018-03-23,2018-03-24,0.0379244,0.041076369,0.0350802,0.040998644,206258026.9261297,2441643077.208237
2018-03-24,2018-03-25,0.041795956,0.053147341,0.041180081,0.050361607,444249250.6639831,3154365338.268481
2018-03-25,2018-03-26,0.049448399,0.049754751,0.044995011,0.045535815,395351484.2708372,3120111941.801457
2018-03-26,2018-03-27,0.045429629,0.046244719,0.039552351,0.044640692,259558834.6835473,2805092397.158369
2018-03-27,2018-03-28,0.044409892,0.046266108,0.04045883,0.043366285,254217216.5441472,2863805812.438549
2018-03-28,2018-03-29,0.043225039,0.049487171,0.042791375,0.048598567,222783587.1568696,2933541898.249031
2018-03-29,2018-03-30,0.048885721,0.050372252,0.043324734,0.043516308,359625344.4451609,3128573215.679829
2018-03-30,2018-03-31,0.043276135,0.045968239,0.039331618,0.041430887,389316093.3386429,2716663760.315158
2018-03-31,2018-04-01,0.041390478,0.043079027,0.03382266,0.034001355,296704150.51385504,2414917652.163659
