Start,End,Open,High,Low,Close,Volume,Market Cap
2025-04-06,2025-04-07,82.7568,83.1021,68.8975,70.3884,813180599.6898955,5954827598.7735195
2025-04-05,2025-04-06,84.3297,84.8229,82.004,82.808,841562713.641115,6295141834.306621
2025-04-04,2025-04-05,83.4523,84.9898,81.9773,84.3679,1000940851.836237,6329141065.205575
2025-04-03,2025-04-04,81.2931,84.4828,80.4234,83.4237,1496744972.3763065,6246386982.320558
2025-04-02,2025-04-03,84.4141,87.6325,81.2341,81.8382,1130706044.3344948,6317097056.003485
2025-04-01,2025-04-02,83.1393,85.7492,83.0187,84.6268,1049365187.2473868,6384790325.306621
2025-03-31,2025-04-01,86.146,86.146,81.2735,83.0823,1031947189.2264808,6327447608.585366
2025-03-30,2025-03-31,85.4801,86.7536,85.0125,86.0416,923816315.979094,6511740767.243902
2025-03-29,2025-03-30,87.4891,87.9502,84.6802,85.4218,1112767903.3867595,6517188769.763066
2025-03-28,2025-03-29,92.7239,93.3079,86.0456,87.4969,1171004275.5470383,6708897926.222997
2025-03-27,2025-03-28,92.494,94.9064,92.393,92.9681,1138150117.5156794,7063457695.933798
2025-03-26,2025-03-27,94.4189,96.3419,91.4743,92.3319,1205529550.5783973,7110487155.592335
2025-03-25,2025-03-26,93.5368,94.5101,92.1554,94.4668,1138364375.0627177,7048077388.010453
2025-03-24,2025-03-25,91.4267,95.5118,90.9867,93.6223,1078413156.8013937,7060817704.101046
2025-03-23,2025-03-24,91.3764,92.8915,90.9117,91.4692,741958476.9163764,6938249100.445993
2025-03-22,2025-03-23,90.9391,92.0839,90.6315,91.2484,903087606.7560976,6900532550.947735
2025-03-21,2025-03-22,93.3427,93.7583,91.1597,91.1597,1063544304.8432056,7014173408.268292
2025-03-20,2025-03-21,94.4286,94.4468,90.4566,93.2885,1299020812.71777,6992052626.874564
2025-03-19,2025-03-20,89.9889,94.1123,89.5152,94.0596,1302006594.8327527,6895107242.365853
2025-03-18,2025-03-19,92.0953,92.1234,87.5408,90.0927,1280166018.087108,6744265186.494774
2025-03-17,2025-03-18,90.4334,94.1238,90.4334,92.4247,1323982763.337979,7024889599.912892
2025-03-16,2025-03-17,92.463,92.6393,88.9054,90.4526,1016697401.5087107,6873771926.745645
2025-03-15,2025-03-16,91.5277,93.9926,91.2006,92.5416,1107471985.4250872,7003435865.484321
2025-03-14,2025-03-15,88.0291,92.554,87.9227,91.4851,1149099168.4146342,6828996531.498258
2025-03-13,2025-03-14,91.6873,91.6873,86.4984,88.0717,1231366865.0801394,6731371120.7735195
2025-03-12,2025-03-13,90.3697,92.1668,88.0659,91.6221,1587880602.0139372,6824000063.268292
2025-03-11,2025-03-12,88.0046,92.8735,84.0867,90.5439,2160169494.264808,6744229434.442509
2025-03-10,2025-03-11,95.0289,98.6288,87.2204,87.8792,1916119218.7491288,7069708908.641115
2025-03-09,2025-03-10,102.1668,102.645,94.1353,94.641,1345940454.2857144,7497422860.076655
2025-03-08,2025-03-09,103.7713,107.9331,102.2286,102.4186,1802972482.2020905,7907013704.898954
2025-03-07,2025-03-08,103.6316,106.2485,97.9928,103.4846,2184913486.2229967,7798188436.916376
2025-03-06,2025-03-07,104.8207,112.3294,102.4746,103.4902,2055727225.6197183,7993121572.964788
2025-03-05,2025-03-06,103.4291,106.3451,100.9473,104.8098,2577002880.672474,7819431131.728223
2025-03-04,2025-03-05,109.6172,110.8779,95.5704,103.6544,3366255452.9965158,7789991812.780488
2025-03-03,2025-03-04,126.7543,129.6309,107.794,110.4002,3811187855.4982576,8865113144.662022
2025-03-02,2025-03-03,124.2236,128.7284,118.7838,127.5493,2044926439.3205576,9339815045.020906
2025-03-01,2025-03-02,127.6199,130.0896,123.3678,124.4327,2828953585.7874565,9515728513.205574
2025-02-28,2025-03-01,127.1055,129.1824,114.6316,127.97,4261676220.1707315,9268893011.125435
2025-02-27,2025-02-28,124.9056,131.7243,122.1185,126.7112,4192495692.066202,9573838621.174215
2025-02-26,2025-02-27,114.678,128.0989,114.197,124.6388,3356896505.229965,9224807247.317074
2025-02-25,2025-02-26,115.4131,116.5091,107.4827,114.7168,3343769146.327526,8522752817.95122
2025-02-24,2025-02-25,130.022,130.1306,114.135,114.545,2082990068.8919861,9308337915.031359
2025-02-23,2025-02-24,126.1484,130.1106,125.7765,130.1031,2945783687.815331,9632232649.372822
2025-02-22,2025-02-23,127.9808,130.4711,126.0343,126.3174,5621227714.807143,9667005353.675
2025-02-21,2025-02-22,130.9463,139.2951,124.531,128.0854,7681770189.320558,10031421341.986063
2025-02-20,2025-02-21,134.6317,134.9333,126.813,130.8281,7172113589.268292,9814707277.121952
2025-02-19,2025-02-20,129.9256,139.3524,129.9256,135.2922,7703505107.526133,10171884006.4669
2025-02-18,2025-02-19,122.2519,129.4832,120.8777,129.3318,3744387899.5993032,9434705386.790941
2025-02-17,2025-02-18,125.7996,128.4394,120.6773,122.4289,4454502361.132404,9384604536.634146
2025-02-16,2025-02-17,133.7789,136.9631,125.6114,125.6114,6153836283.20209,9881099732.073172
2025-02-15,2025-02-16,125.2706,134.6935,124.6867,133.6514,6867479373.062717,9874350974.850174
2025-02-14,2025-02-15,126.6831,133.366,124.7962,125.5739,6343525827.494774,9646645149.229965
2025-02-13,2025-02-14,121.6382,129.0585,119.5474,126.3872,8876221531.599302,9324654126.219513
2025-02-12,2025-02-13,119.4841,124.7073,113.2998,121.5166,6340506522.790941,8954949785.442509
2025-02-11,2025-02-12,119.6623,131.4605,118.4969,119.9534,6454465299.010453,9428223830.069687
2025-02-10,2025-02-11,108.497,121.7953,107.9389,120.0938,3603755607.2996516,8767245794.28223
2025-02-09,2025-02-10,104.6507,108.8866,102.9458,107.9724,1448330824.0452962,8040724882.2125435
2025-02-08,2025-02-09,102.4364,105.162,102.3467,104.6388,2162001468.121951,7823547317.58885
2025-02-07,2025-02-08,101.8387,107.6086,101.0447,102.4796,2580504339.794425,7868380185.874564
2025-02-06,2025-02-07,103.3285,109.4527,100.0956,101.4438,2832517850.9721255,7882296614.090592
2025-02-05,2025-02-06,101.3975,108.2742,101.1089,103.0235,3240857722.6655054,7844826191.271777
2025-02-04,2025-02-05,107.3039,108.6131,99.1393,101.5031,5459197906.2125435,7761359484.432055
2025-02-03,2025-02-04,108.2263,109.0399,86.8703,106.8409,8362241506.0069685,7495726255.878049
2025-02-02,2025-02-03,118.2418,121.1878,105.8925,109.424,5112454200.54007,8648001828.083624
2025-02-01,2025-02-02,127.6708,130.721,118.3307,119.3573,4510344025.620209,9414258346.777004
2025-01-31,2025-02-01,130.8576,134.4888,125.7035,127.7606,6411991569.888502,9736474797.167248
2025-01-30,2025-01-31,116.0721,133.535,114.6919,130.1752,4972822341.930314,9609316765.351917
2025-01-29,2025-01-30,110.2586,118.6042,110.2586,116.0394,2467101616.818815,8554135044.954704
2025-01-28,2025-01-29,115.7528,116.9382,109.58,109.9678,4951202441.853659,8616471699.623693
2025-01-27,2025-01-28,116.7739,118.0431,106.6784,114.9697,5310185094.045296,8449733323.445993
2025-01-26,2025-01-27,123.8955,125.1512,117.4159,117.4159,6406548976.710801,9268366391.728224
2025-01-25,2025-01-26,119.1978,129.2003,118.579,123.8841,5742594165.961673,9378194958.947735
2025-01-24,2025-01-25,115.9872,122.4867,113.2589,119.024,2496079794.1324043,8894284343.020906
2025-01-23,2025-01-24,115.3498,116.5934,111.7235,116.0718,1973890173.9442508,8613877267.142857
2025-01-22,2025-01-23,119.1302,119.8399,114.7767,115.3434,2780958366.1881533,8823642800.250872
