Date,S&P500_Close,S&P500_Open,S&P500_High,S&P500_Low,S&P500_Change_%,VIX_Open,VIX_High,VIX_Low,VIX_Close,Crypto_Volume,Crypto_Market_Cap,Year,Month,Day,DayOfWeek,IsWeekend,Market_Cap_STD,SP500_EMA,SP500_SMA_20,SP500_SMA_50,SP500_SMA_100,Lagged_VIX_Close,Lagged_S&P500_Close,Crypto_Market_Cap_%,Crypto_Volume_Change_%
2018-04-27,2669.9,2675.5,2677.3,2659.0,0.11,16.22,16.77,15.25,15.41,11898251564.843256,310952980359.71814,2018,4,27,4,False,15385710867.57951,2663.076290470003,2661.35,2671.8160000000003,2708.055,16.24,2666.9,4.318262293563158,-20.00161768494363
2018-04-28,2669.9,2675.5,2677.3,2659.0,0.11,16.22,16.77,15.25,15.41,12380309253.57887,315286858619.95123,2018,4,28,5,True,11697849710.36732,2664.4410323760026,2664.62,2669.482,2706.7740000000003,15.41,2669.9,1.3937407048549844,4.051500223444515
2018-04-29,2669.9,2675.5,2677.3,2659.0,0.11,16.22,16.77,15.25,15.41,14145761501.745098,324406387350.60455,2018,4,29,6,True,11383986596.94583,2665.532825900802,2667.455,2667.1479999999997,2705.37,15.41,2669.9,2.8924544367534333,14.260162747193682
2018-04-30,2648.1,2675.1,2682.9,2648.0,-0.82,15.39,16.35,15.13,15.93,13290257536.266802,318591785844.8346,2018,4,30,0,False,10561439230.163189,2662.0462607206414,2667.0150000000003,2664.3779999999997,2703.7480000000005,15.41,2669.9,-1.7923819420626264,-6.04777597425743
2018-05-01,2654.8,2643.6,2655.3,2625.4,0.25,15.78,16.82,15.42,15.49,13097635023.355335,309441403723.2937,2018,5,1,1,False,9213127362.97358,2660.5970085765134,2667.645,2661.8140000000003,2702.1929999999998,15.93,2648.1,-2.872133723497017,-1.4493512438403355
2018-05-02,2635.7,2654.2,2660.9,2631.7,-0.72,15.48,15.97,14.75,15.97,10388821058.330486,351714132162.07416,2018,5,2,2,False,15196276756.21125,2655.617606861211,2666.23,2659.222,2700.22,15.49,2654.8,13.66098005313512,-20.68170291960776
2018-05-03,2629.7,2628.1,2637.1,2594.6,-0.23,15.78,18.66,15.43,15.9,11901547676.078152,327719528576.9875,2018,5,3,3,False,15628696894.911478,2650.434085488969,2664.9,2656.8259999999996,2698.1259999999997,15.97,2635.7,-6.8221892130367,14.561099948243461
2018-05-04,2663.4,2621.4,2670.9,2615.3,1.28,15.94,16.92,10.91,14.77,13631613612.381454,336182147743.98694,2018,5,4,4,False,15920135015.828552,2653.0272683911753,2665.255,2655.1479999999997,2696.385,15.9,2629.7,2.5822749116433563,14.536478644543838
2018-05-05,2663.4,2621.4,2670.9,2615.3,1.28,15.94,16.92,10.91,14.77,11750971886.331676,345261561195.00397,2018,5,5,5,True,15034206484.36211,2655.1018147129407,2665.6099999999997,2653.3759999999997,2694.627,14.77,2663.4,2.700742294600156,-13.796178350753795
2018-05-06,2663.4,2621.4,2670.9,2615.3,1.28,15.94,16.92,10.91,14.77,10936370304.16672,337430547990.4575,2018,5,6,6,True,14150407325.577644,2656.7614517703523,2664.8900000000003,2651.604,2692.532,14.77,2663.4,-2.268139313696571,-6.932206034059818
2018-05-07,2672.6,2669.4,2683.3,2664.7,0.35,15.32,15.52,14.51,14.75,10967386329.375515,323878031214.01764,2018,5,7,0,False,13333436768.877495,2659.929161416282,2663.2,2650.0159999999996,2690.5290000000005,14.77,2663.4,-4.016387033465374,0.28360438012031697
2018-05-08,2671.9,2670.3,2676.3,2655.2,-0.03,14.53,15.56,14.52,14.71,11151787027.619692,324241026301.2323,2018,5,8,1,False,13343015493.270796,2662.3233291330257,2661.3650000000002,2649.196,2688.519,14.75,2672.6,0.1120777120491967,1.6813549984126208
2018-05-09,2697.8,2678.1,2701.3,2674.1,0.97,14.54,14.63,13.38,13.42,9993168157.334404,319627064651.921,2018,5,9,2,False,13231561386.455944,2669.4186633064205,2661.6,2648.8140000000003,2686.9619999999995,14.71,2671.9,-1.423003653160393,-10.3895354835573
2018-05-10,2723.1,2705.0,2726.1,2704.5,0.94,13.36,13.63,12.92,13.23,9374897508.572777,321684430149.5821,2018,5,10,3,False,11266546828.877405,2680.1549306451366,2664.25,2649.038,2685.969,13.42,2697.8,0.6436768738284249,-6.186933303107212
2018-05-11,2727.7,2722.7,2732.9,2717.4,0.17,13.22,13.44,12.65,12.65,11703660216.741575,295599334809.57,2018,5,11,4,False,14136416950.043169,2689.6639445161095,2667.13,2650.718,2685.0080000000003,13.23,2723.1,-8.108908263879167,24.840407119536877
2018-05-12,2727.7,2722.7,2732.9,2717.4,0.17,13.22,13.44,12.65,12.65,11714297765.970606,286199552050.8918,2018,5,12,5,True,19256019190.047123,2697.2711556128875,2670.0099999999998,2653.506,2684.065,12.65,2727.7,-3.179906600511706,0.09089078999247047
2018-05-13,2727.7,2722.7,2732.9,2717.4,0.17,13.22,13.44,12.65,12.65,9058519730.182905,296047245153.14233,2018,5,13,6,True,19966726539.923714,2703.35692449031,2672.88,2656.294,2683.7209999999995,12.65,2727.7,3.4408485379108678,-22.671252591022494
2018-05-14,2730.1,2733.4,2742.1,2725.5,0.09,12.95,13.28,12.81,12.93,10171235668.224722,298193235197.9507,2018,5,14,0,False,17558744361.59637,2708.705539592248,2677.6549999999997,2659.13,2683.4010000000003,12.65,2727.7,0.7248809370606457,12.283639835041239
2018-05-15,2711.4,2718.6,2718.6,2701.9,-0.68,13.13,15.01,12.5,14.63,10290443541.73818,297731728318.5896,2018,5,15,1,False,15013528336.060757,2709.2444316737988,2681.255,2660.1859999999997,2682.894,12.93,2730.1,-0.15476772269992223,1.1720097478998381
