Date,Total_Volume,Total_Market_Cap
2020-10-05,71215206150.108,278926220420.95996
2020-10-06,73364785790.6198,271926523697.34
2020-10-07,62734271024.963295,273453053707.75
2020-10-08,90181183405.317,280374462844.0
2020-10-09,49239135264.2308,286170532261.0
2020-10-10,49954982963.938,291203605903.7
2020-10-11,44944942040.774895,294468929550.9
2020-10-12,56856263634.095,299665186072.1
2020-10-13,51186036673.317,296547121962.2
2020-10-14,49729997503.718,295785021095.6
2020-10-15,50621813791.267,296435943980.93
2020-10-16,52156770237.464,291626701275.24
2020-10-17,39484475428.128,292169283464.64996
2020-10-18,38720741387.264,296844665966.48
2020-10-19,46297344367.515,301155101701.55
2020-10-20,56419304415.298,302472633766.69
2020-10-21,78653779734.44,324047655406.16
2020-10-22,66355880007.11,329956365505.77
2020-10-23,57522173075.71,329428965247.9
2020-10-24,49790227313.204,333481916884.85
2020-10-25,48179897885.552,330129872571.51
2020-10-26,60294228628.1,329479635279.04
2020-10-27,62353327245.12,342121644644.0
2020-10-28,66371582109.920006,331772901890.26
2020-10-29,86692418470.504,333566280619.47003
2020-10-30,58721358115.214,334448236664.16
2020-10-31,53934155677.192,339173944032.95996
2020-11-01,45530167725.206,340683656767.05
2020-11-02,58907042955.826996,333696753459.19
2020-11-03,57042430037.158005,342004636375.07
2020-11-04,66101428267.380005,346576390275.47003
2020-11-05,70396227046.744,376549065597.42004
2020-11-06,72609438991.55,383914278034.16003
2020-11-07,72527553558.13,365872266205.02
2020-11-08,50056677555.559,381464096204.09
2020-11-09,61645467511.78,376787792520.44
2020-11-10,51063751124.83,377023795850.19995
2020-11-11,56615401260.553,386578072476.87
2020-11-12,59433548646.205,396952406163.73
2020-11-13,59709485697.069,401407095267.89
2020-11-14,51737719569.727005,394451351490.08
2020-11-15,46294010826.007996,390466005548.31
2020-11-16,58921617417.714,407921965880.60004
2020-11-17,74306461240.99,429741764606.5
2020-11-18,89607996217.37,431659732301.81
2020-11-19,69606337288.215,431693343360.67
2020-11-20,78303563476.73999,453702355619.08
2020-11-21,99561125231.95,468578059753.8
2020-11-22,106295104063.26999,462708915147.44
2020-11-23,114721178780.45,479311855545.4
2020-11-24,138602306348.62,499137706748.3
