Date,Total_Volume,Total_Market_Cap
2017-10-02,2084328612.0,116680155058.8
2017-10-03,1857098241.0,114512567466.5
2017-10-04,1648586848.0,113418221900.5
2017-10-05,1965073457.0,116299409703.8
2017-10-06,1711230198.0,118075228506.4
2017-10-07,1496679786.0,119707474821.9
2017-10-08,2328279636.0,123922858713.7
2017-10-09,3407374362.0,124152672103.0
2017-10-10,2508094423.0,125010855852.2
2017-10-11,1771903371.0,126370318581.9
2017-10-12,4004623282.0,136482741001.7
2017-10-13,5809037481.0,143918386303.3
2017-10-14,2810110748.0,147309783214.8
2017-10-15,3424183423.0,144650585578.3
2017-10-16,4230472797.0,145114213942.2
2017-10-17,3179806596.0,140422775135.8
2017-10-18,3778613034.0,139207887971.8
2017-10-19,2706192347.0,140255168242.3
2017-10-20,3203212170.0,144693459955.8
2017-10-21,2999910141.0,144308112191.5
2017-10-22,2644138034.0,143396652197.2
2017-10-23,3262296524.0,140844025074.0
2017-10-24,4031128633.0,136026632111.6
2017-10-25,2606296008.0,139657467967.8
2017-10-26,2366310594.0,141927200870.8
2017-10-27,2142455264.0,139886181811.3
2017-10-28,1822453940.0,139101530379.2
2017-10-29,3738859190.0,146510523251.19998
2017-10-30,2351723380.0,146790687178.2
2017-10-31,2911717020.0,152464399572.8
2017-11-01,3761839978.0,155485428565.7
2017-11-02,6169959884.0,160587052898.4
2017-11-03,4678950058.0,164735354164.2
2017-11-04,3150625296.0,166891714917.9
2017-11-05,2941382976.0,166287163117.2
2017-11-06,4098230680.0,161025445017.30002
2017-11-07,3545341064.0,163194443853.0
2017-11-08,6315744442.0,170650674199.80002
2017-11-09,4811910572.0,167487723979.7
2017-11-10,6738381312.0,155023640971.7
2017-11-11,6373443998.0,153425019371.1
2017-11-12,11414020212.0,145064229150.6
2017-11-13,7886218514.0,156250299230.4
2017-11-14,4801712764.0,160969304529.80002
2017-11-15,5471863836.0,172287954602.1
2017-11-16,7678397654.0,182112914941.0
2017-11-17,6255646168.0,180005880385.1
2017-11-18,4859483950.0,182964533519.0
2017-11-19,4994582072.0,187930138593.3
2017-11-20,4957442100.0,192974018300.3
2017-11-21,5958085128.0,189830824905.9
2017-11-22,5114301394.0,195651828036.2
2017-11-23,6912430144.0,194226590183.7
2017-11-24,8123256268.0,204835650939.59998
2017-11-25,6684122606.0,214321021499.6
2017-11-26,7475784234.0,223995618607.9
2017-11-27,8222172728.0,234853828835.6
2017-11-28,9987743034.0,244067874183.1
2017-11-29,16689900888.0,231571149158.19998
2017-11-30,11602266610.0,241375050452.6
2017-12-01,9281863240.0,257326703278.1
2017-12-02,7144851730.0,259719039084.0
2017-12-03,8900810632.0,264878516168.3
2017-12-04,9081646856.0,274683101357.2
2017-12-05,10848714800.0,281952113938.0
2017-12-06,18904534892.0,320066734178.7
2017-12-07,23223657456.0,378763748296.8
2017-12-08,27262282494.0,364288253142.10004
2017-12-09,19745740222.0,343126400128.4
2017-12-10,17148629358.0,341946403781.9
2017-12-11,17942030338.0,379231559447.69995
2017-12-12,29816606060.0,413546209283.2
2017-12-13,25473865104.0,405367119054.60004
2017-12-14,28379678080.0,424383864413.0
2017-12-15,24785953244.0,438791703092.69995
